1,1240,512,578.88
2,1240,512,591.44
3,1240,512,659.08
4,1504,512,702.32
5,1824,512,792.68
6,1792,512,956.2
7,1800,512,1054.16
8,2680,512,1098.56
9,2664,512,1161.24
10,2640,512,1267.68
11,2664,512,1351.76
12,2608,512,1445.76
13,2632,512,1573.4
14,6216,512,1631.6
15,6184,512,1669.04
16,6216,512,1729.44
17,6208,512,1830.4
18,6232,512,1899.52
19,6184,512,2061.44
20,6200,512,2113.96
21,8480,512,2156.6
22,8448,512,2372.04
23,6184,512,2514.52
24,6184,512,2694.68
25,8448,512,2897.88
26,8440,512,3304.68
27,13376,512,4098.48
28,8440,512,4543.04
29,13312,512,5091.76
30,13368,512,5053.6
31,13360,512,5409.12
32,13376,512,5745.76
33,13408,512,5780.12
34,13360,512,5907.84
35,8440,512,4476.16
36,8424,512,4593.76
37,8424,512,5865.08
38,13304,512,1819.88
39,8440,512,4642.2
40,8448,512,5865.56
41,8456,512,5881.72
42,13368,512,6841.44
43,8456,512,4858.6
44,13344,512,6810.84
45,13400,512,7835.08
46,19232,512,5569.72
47,18728,512,5737.12
48,13432,512,9080.32
49,13432,512,8776.72
50,13408,512,8742.6
51,8456,512,5753.36
52,13416,512,9199.4
53,13400,512,8796.6
54,8488,512,5748.12
55,8472,512,5938.44
56,13392,512,9225.08
57,13384,512,8870.56
