1,2112,512,598.9866666666667
2,1920,512,586.08
3,1208,512,625.52
4,1504,512,634.96
5,2808,512,650.64
6,2376,512,637.04
7,1592,512,626.7733333333333
8,2032,512,644.0
9,1920,512,654.2133333333334
10,2360,512,660.4533333333334
11,2072,512,652.24
12,2344,512,659.8666666666667
13,2352,512,672.9866666666667
14,2320,512,649.0133333333333
15,2328,512,664.56
16,2408,512,670.8266666666667
17,1888,512,709.68
18,2336,512,740.6666666666666
19,2328,512,759.6533333333333
20,1848,512,730.9866666666667
21,2296,512,736.6933333333334
22,1880,512,707.3066666666666
23,2752,512,722.4
24,1888,512,729.84
25,1888,512,757.5466666666666
26,6312,512,800.4533333333334
27,2784,512,744.7466666666667
28,2912,512,791.5466666666666
29,2328,512,829.4133333333333
30,3224,512,958.32
31,2328,512,921.9733333333334
32,2768,512,972.3466666666667
33,2776,512,1086.1866666666667
34,6272,512,1276.72
35,2760,512,977.4133333333333
36,8024,512,946.2666666666667
37,2760,512,933.3333333333334
38,2752,512,988.16
39,8032,512,1208.7733333333333
40,2768,512,1141.1733333333334
41,2760,512,1265.3333333333333
42,2760,512,1187.68
43,2768,520,1286.16
44,2712,512,1583.4133333333334
45,2712,512,1392.08
46,2712,512,1482.1866666666667
47,2688,512,1666.4533333333334
48,1848,592,1414.2666666666667
49,1832,592,1040.9333333333334
50,1864,592,923.4666666666667
51,1872,576,1164.0
52,2352,536,1296.64
53,2744,592,1302.9333333333334
54,4904,592,1594.2666666666667
55,2704,512,1381.12
56,2704,512,1595.84
57,2696,512,1498.0266666666666
58,4000,512,1712.9333333333334
59,4864,512,1685.3333333333333
